
100,100,660,0,1,883,-1.0A-1.0A-1.0A-1.0,84.0A-1.0A-1.0A83.0,3.0A-1.0A-1.0A3.0,-1.0A-1.0A-1.0A-1.0,,100,UP,,100,90,false,0.45
101,101,690,0,1,753,-1.0A-1.0A-1.0A-1.0,143.0A72.0A-1.0A143.0,3.0A24.0A-1.0A71.0,-1.0A-1.0A-1.0A-1.0,,101,UP,,101,60,false,0.3
101,101,750,0,1,540,82.0A-1.0A-1.0A26.0,120.0A-1.0A-1.0A119.0,31.0A-1.0A-1.0A51.0,-1.0A-1.0A-1.0A-1.0,,101,UP,,101,0,false,-1.0
102,102,750,0,1,237,-1.0A66.0A-1.0A26.0,-1.0A153.0A-1.0A147.0,-1.0A55.0A-1.0A3.0,-1.0A-1.0A-1.0A-1.0,,102,LEFT,,102,20,false,-1.0
103,103,770,0,1,225,66.0A-1.0A2.0A66.0,151.0A-1.0A135.0A153.0,67.0A-1.0A43.0A3.0,-1.0A-1.0A-1.0A-1.0,,103,UP,,103,0,false,-1.0
103,103,770,0,1,237,-1.0A-1.0A7.0A2.0,-1.0A-1.0A99.0A147.0,-1.0A-1.0A56.0A15.0,-1.0A-1.0A-1.0A-1.0,,103,UP,,103,0,false,-1.0
109,109,110,0,3,728,-1.0A18.0A-1.0A50.0,-1.0A103.0A-1.0A95.0,-1.0A47.0A-1.0A35.0,-1.0A-1.0A-1.0A-1.0,,109,LEFT,,109,30,true,-1.0
109,109,110,0,3,716,-1.0A-1.0A98.0A26.0,-1.0A-1.0A83.0A103.0,-1.0A-1.0A23.0A47.0,-1.0A-1.0A-1.0A-1.0,,109,RIGHT,,109,30,true,-1.0
111,111,210,0,1,225,-1.0A-1.0A-1.0A-1.0,-1.0A27.0A107.0A87.0,-1.0A3.0A3.0A3.0,-1.0A-1.0A-1.0A-1.0,,111,UP,,111,70,false,0.35
112,112,170,0,3,948,-1.0A74.0A138.0A-1.0,-1.0A83.0A51.0A-1.0,-1.0A3.0A3.0A-1.0,-1.0A-1.0A-1.0A-1.0,,112,DOWN,,112,220,false,1.0
113,113,390,0,3,810,-1.0A-1.0A-1.0A-1.0,79.0A119.0A-1.0A-1.0,36.0A3.0A-1.0A-1.0,56.0A42.0A-1.0A-1.0,,113,UP,,113,0,false,-1.0
113,113,390,0,3,691,-1.0A-1.0A-1.0A-1.0,67.0A115.0A-1.0A72.0,31.0A59.0A-1.0A24.0,62.0A38.0A-1.0A67.0,,113,RIGHT,,113,0,false,-1.0
113,113,390,0,3,598,-1.0A-1.0A-1.0A-1.0,79.0A-1.0A119.0A-1.0,23.0A-1.0A47.0A-1.0,14.0A-1.0A42.0A-1.0,,113,RIGHT,,113,200,false,1.0
114,114,390,0,3,480,-1.0A-1.0A-1.0A-1.0,67.0A103.0A-1.0A67.0,11.0A47.0A-1.0A31.0,80.0A48.0A-1.0A8.0,,114,LEFT,,114,200,false,1.0
115,115,590,0,3,456,-1.0A-1.0A-1.0A-1.0,43.0A-1.0A96.0A-1.0,7.0A-1.0A39.0A-1.0,79.0A-1.0A55.0A-1.0,,115,DOWN,,115,0,false,-1.0
116,116,590,0,3,691,-1.0A-1.0A-1.0A-1.0,-1.0A115.0A131.0A72.0,-1.0A59.0A15.0A24.0,-1.0A108.0A108.0A29.0,,116,DOWN,,116,0,false,-1.0
118,118,590,0,3,936,-1.0A94.0A-1.0A-1.0,-1.0A107.0A-1.0A139.0,-1.0A15.0A-1.0A55.0,-1.0A94.0A-1.0A149.0,,118,DOWN,,118,30,false,-1.0
119,119,590,0,3,948,-1.0A70.0A136.0A-1.0,-1.0A95.0A111.0A-1.0,-1.0A3.0A27.0A-1.0,-1.0A76.0A124.0A-1.0,,119,UP,,119,60,false,0.3
119,119,620,0,3,960,46.0A94.0A-1.0A-1.0,115.0A83.0A-1.0A-1.0,3.0A3.0A-1.0A-1.0,97.0A58.0A-1.0A-1.0,,119,RIGHT,,119,120,false,0.6
120,120,650,0,3,972,-1.0A37.0A109.0A-1.0,-1.0A71.0A111.0A-1.0,-1.0A11.0A3.0A-1.0,-1.0A-1.0A-1.0A-1.0,,120,DOWN,,120,110,false,0.55
122,122,760,0,1,456,87.0A11.0A-1.0A-1.0,43.0A91.0A-1.0A-1.0,7.0A35.0A-1.0A-1.0,-1.0A-1.0A-1.0A-1.0,,122,LEFT,,122,60,false,0.3
122,122,990,0,1,165,-1.0A-1.0A-1.0A-1.0,-1.0A87.0A119.0A84.0,-1.0A3.0A3.0A3.0,-1.0A47.0A23.0A75.0,,122,UP,,122,140,false,0.7
122,122,1060,0,1,361,-1.0A-1.0A-1.0A-1.0,-1.0A91.0A104.0A-1.0,-1.0A3.0A59.0A-1.0,-1.0A41.0A9.0A-1.0,,122,UP,,122,100,false,0.5
123,123,1160,0,1,201,-1.0A-1.0A-1.0A-1.0,-1.0A51.0A83.0A-1.0,-1.0A3.0A3.0A-1.0,-1.0A21.0A37.0A-1.0,,123,UP,,123,180,false,0.9
124,124,1190,0,1,213,-1.0A-1.0A-1.0A-1.0,135.0A39.0A-1.0A-1.0,3.0A3.0A-1.0A-1.0,111.0A15.0A-1.0A-1.0,,124,UP,,124,170,false,0.85
125,125,1360,0,1,189,-1.0A-1.0A-1.0A-1.0,-1.0A63.0A132.0A-1.0,-1.0A15.0A59.0A-1.0,-1.0A59.0A75.0A-1.0,,125,UP,,125,70,false,0.35
125,125,1360,0,1,201,-1.0A40.0A72.0A-1.0,-1.0A51.0A83.0A-1.0,-1.0A15.0A3.0A-1.0,-1.0A-1.0A-1.0A-1.0,,125,DOWN,,125,70,false,0.35
125,125,1430,0,1,516,-1.0A37.0A73.0A94.0,-1.0A67.0A95.0A128.0,-1.0A23.0A47.0A79.0,-1.0A-1.0A-1.0A-1.0,,125,LEFT,,125,0,false,-1.0
125,125,1430,0,1,480,32.0A-1.0A62.0A62.0,103.0A-1.0A120.0A92.0,43.0A-1.0A59.0A55.0,-1.0A-1.0A-1.0A-1.0,,125,UP,,125,0,false,-1.0
130,130,10,0,3,753,-1.0A-1.0A-1.0A-1.0,67.0A-1.0A47.0A115.0,3.0A-1.0A3.0A59.0,-1.0A-1.0A-1.0A-1.0,,130,UP,,130,90,false,0.45
132,132,100,0,3,399,82.0A81.0A-1.0A-1.0,31.0A56.0A-1.0A-1.0,3.0A24.0A-1.0A-1.0,-1.0A-1.0A-1.0A-1.0,,132,LEFT,,132,70,false,0.35
132,132,140,0,3,237,-1.0A92.0A-1.0A52.0,-1.0A15.0A-1.0A47.0,-1.0A3.0A-1.0A3.0,-1.0A-1.0A-1.0A-1.0,,132,LEFT,,132,190,false,0.95
132,132,530,0,3,753,-1.0A-1.0A-1.0A-1.0,-1.0A72.0A47.0A140.0,-1.0A24.0A3.0A59.0,-1.0A83.0A98.0A20.0,,132,RIGHT,,132,100,true,-1.0
