
d:[183,183,1470,648,40,2147483647,-1,false,2] S:[,183,UP] ->:[,183,190,0]
d:[184,184,1660,732,52,16,373,false,2] S:[,184,LEFT] ->:[,184,60,0]
d:[185,185,1660,744,40,16,266,false,2] S:[,185,LEFT] ->:[,185,220,0]
d:[185,185,1690,756,28,32,197,false,2] S:[,185,LEFT] ->:[,185,190,0]
d:[185,185,1720,768,16,32,353,false,2] S:[,185,LEFT] ->:[,185,160,0]
d:[186,186,1880,820,85,24,357,true,2] S:[,186,RIGHT] ->:[,186,200,0]
d:[187,187,1880,832,76,22,199,true,2] S:[,187,RIGHT] ->:[,187,200,0]
d:[188,188,1880,844,64,4,193,true,2] S:[,188,LEFT] ->:[,188,230,0]
d:[189,189,2080,856,52,42,243,true,2] S:[,189,RIGHT] ->:[,189,60,0]
d:[190,190,2080,868,40,24,237,true,2] S:[,190,LEFT] ->:[,190,220,0]
d:[191,191,2110,880,28,18,281,true,2] S:[,191,RIGHT] ->:[,191,190,0]
d:[192,192,2140,892,16,12,317,true,2] S:[,192,RIGHT] ->:[,192,160,0]
d:[196,196,2310,1264,-1,2147483647,-1,false,1] S:[,196,UP] ->:[,196,50,0]
d:[196,196,2310,1276,-1,2147483647,-1,false,1] S:[,196,UP] ->:[,196,50,0]
d:[195,195,20,82,56,12,398,false,3] S:[,195,UP] ->:[,195,130,0]
d:[196,196,230,90,16,44,290,false,3] S:[,196,LEFT] ->:[,196,210,0]
d:[197,197,390,142,85,12,177,true,3] S:[,197,RIGHT] ->:[,197,60,0]
d:[198,198,440,166,64,24,21,true,3] S:[,198,RIGHT] ->:[,198,430,0]
d:[199,199,440,178,52,42,27,true,3] S:[,199,RIGHT] ->:[,199,430,0]
d:[200,200,450,190,40,36,33,true,3] S:[,200,RIGHT] ->:[,200,420,0]
d:[204,204,900,646,60,2147483647,-1,false,1] S:[,204,UP] ->:[,204,70,0]
d:[204,204,910,658,60,2147483647,-1,false,1] S:[,204,UP] ->:[,204,60,0]
d:[206,206,450,272,76,2147483647,-1,false,1] S:[,206,UP] ->:[,206,210,0]
d:[206,206,600,332,40,38,388,false,1] S:[,206,LEFT] ->:[,206,60,0]
d:[206,206,630,344,52,38,328,false,1] S:[,206,LEFT] ->:[,206,50,0]
d:[206,206,340,152,28,6,277,false,3] S:[,206,LEFT] ->:[,206,390,0]
d:[207,207,370,164,16,18,110,false,3] S:[,207,RIGHT] ->:[,207,360,0]
d:[211,211,730,252,52,20,221,true,3] S:[,211,RIGHT] ->:[,211,460,0]
d:[211,211,730,264,40,14,227,true,3] S:[,211,RIGHT] ->:[,211,620,0]
d:[211,211,760,276,28,8,233,true,3] S:[,211,RIGHT] ->:[,211,590,0]
d:[211,211,1190,288,16,29,397,false,3] S:[,211,LEFT] ->:[,211,160,0]
d:[215,215,1350,416,124,15,198,true,3] S:[,215,RIGHT] ->:[,215,200,0]
d:[215,215,1350,428,136,9,192,true,3] S:[,215,RIGHT] ->:[,215,200,0]
d:[215,215,1350,440,136,3,186,true,3] S:[,215,RIGHT] ->:[,215,200,0]
d:[218,218,1570,532,36,2147483647,-1,false,2] S:[,218,UP] ->:[,218,90,0]
d:[216,216,350,122,92,50,451,true,3] S:[,216,RIGHT] ->:[,216,180,0]
d:[217,217,370,134,96,56,556,true,3] S:[,217,RIGHT] ->:[,217,250,0]
d:[218,218,380,170,60,74,672,true,3] S:[,218,RIGHT] ->:[,218,260,0]
d:[222,222,830,406,40,33,393,false,2] S:[,222,LEFT] ->:[,222,50,0]
d:[222,222,860,418,52,33,298,false,2] S:[,222,LEFT] ->:[,222,50,0]
d:[222,222,880,430,52,17,372,false,2] S:[,222,LEFT] ->:[,222,60,0]
d:[222,222,880,442,40,17,272,false,2] S:[,222,LEFT] ->:[,222,220,0]
d:[223,223,910,454,28,31,196,false,2] S:[,223,LEFT] ->:[,223,190,0]
d:[224,224,940,466,16,33,354,false,2] S:[,224,LEFT] ->:[,224,160,0]
d:[225,225,1100,518,85,25,358,true,2] S:[,225,RIGHT] ->:[,225,200,0]
d:[226,226,1100,530,76,21,198,true,2] S:[,226,RIGHT] ->:[,226,200,0]
d:[227,227,1100,542,64,3,192,true,2] S:[,227,LEFT] ->:[,227,230,0]
d:[228,228,1300,554,52,41,242,true,2] S:[,228,RIGHT] ->:[,228,60,0]
